"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TSK-MOB-004","Define Isar Collections (User, LibraryItem)","Create data models annotated for Isar. Include sync metadata fields.","Task","Sprint Backlog","High","mobile.dev@company.com","tech.lead@company.com","2024-06-04","8","3","mobile,database,isar","Sprint 2","Implement Core Library Management with Offline-First Synchronization","Mobile Application Foundation","EPIC-MOB-CORE","Reading Tracker App","WI-MOB-002","TSK-MOB-001","Flutter,NoSQL","Medium","Medium","Models compile; Schema includes indices and sync fields","Unit tests verifying schema","2024-06-03","2024-06-14","10%","Backend Team (Schema alignment)","None","Local DB tests","None","Offline capability"
"TSK-BE-005","Setup MediatR and FluentValidation","Install packages, register services, and implement ValidationBehavior.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-05","6","3","backend,cqrs,validation","Sprint 2","Implement Core Library Management with Offline-First Synchronization","Backend Core Infrastructure","EPIC-BE-CORE","Reading Tracker App","WI-BE-002","TSK-BE-001",".NET 8,MediatR","Medium","Low","Invalid commands throw ValidationException; Behavior registered","Pipeline unit tests pass","2024-06-03","2024-06-14","8%","None","None","Unit tests","None","Data integrity"
"TSK-AUTH-004","Implement Backend User Service","Service to check if user exists in DB based on Auth0 Subject ID; create if not.","Task","Sprint Backlog","Critical","backend.dev@company.com","tech.lead@company.com","2024-06-06","6","3","backend,auth,user-service","Sprint 2","Implement Core Library Management with Offline-First Synchronization","Authentication & User Identity","EPIC-AUTH","Reading Tracker App","WI-AUTH-002","TSK-BE-007",".NET 8,EF Core","Medium","Low","New users inserted; Existing users returned","Integration tests pass","2024-06-03","2024-06-14","8%","None","None","Integration tests","None","User management"
"TSK-AUTH-005","Implement Auth Controller & Token Exchange","API Endpoint to receive social ID token and return internal User DTO.","Task","Sprint Backlog","Critical","backend.dev@company.com","tech.lead@company.com","2024-06-07","6.3","3","backend,api,auth","Sprint 2","Implement Core Library Management with Offline-First Synchronization","Authentication & User Identity","EPIC-AUTH","Reading Tracker App","WI-AUTH-002","TSK-AUTH-004",".NET 8,API Design","Medium","Low","Valid token returns 200; Invalid token returns 401","API tests pass","2024-06-03","2024-06-14","8%","Mobile Team","None","Contract tests","None","Mobile Login"
"TSK-SYNC-001","Define Mutation Queue Schema","Isar collection SyncMutation to store HTTP method, endpoint, payload, and retry count.","Task","Sprint Backlog","Critical","mobile.dev@company.com","tech.lead@company.com","2024-06-06","4","2","mobile,database,sync","Sprint 2","Implement Core Library Management with Offline-First Synchronization","Offline Synchronization Engine","EPIC-SYNC","Reading Tracker App","WI-SYNC-001","TSK-MOB-004","Flutter,Isar","High","High","Stores JSON payload; Ordered by timestamp","Schema test passed","2024-06-03","2024-06-14","5%","Backend Team","None","Persistence tests","None","Offline queueing"
"TSK-SYNC-003","Implement Pull Sync Endpoint","Endpoint GET /sync accepting last_sync_timestamp.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-10","8.3","5","backend,sync,api","Sprint 2","Implement Core Library Management with Offline-First Synchronization","Offline Synchronization Engine","EPIC-SYNC","Reading Tracker App","WI-SYNC-002","TSK-BE-007",".NET 8,EF Core","Medium","Medium","Efficient query; Returns deleted items (tombstones); Response paginated","Integration tests pass","2024-06-03","2024-06-14","10%","Mobile Team","None","Performance tests","None","Data synchronization"
"TSK-MOB-005","Implement Local Repository Layer","Create Repository classes to abstract Isar operations.","Task","Sprint Backlog","High","mobile.dev@company.com","tech.lead@company.com","2024-06-10","10","5","mobile,architecture,repository","Sprint 2","Implement Core Library Management with Offline-First Synchronization","Mobile Application Foundation","EPIC-MOB-CORE","Reading Tracker App","WI-MOB-002","TSK-MOB-004","Flutter,Architecture","Medium","Low","CRUD operations work; Testable repositories","Integration tests write to temp DB","2024-06-03","2024-06-14","12%","None","None","Repo unit tests","None","Code maintenance"
"TSK-MOB-006","Implement Schema Migration Strategy","Define strategy for Isar schema upgrades.","Task","Sprint Backlog","Medium","mobile.dev@company.com","tech.lead@company.com","2024-06-12","6","3","mobile,database,migration","Sprint 2","Implement Core Library Management with Offline-First Synchronization","Mobile Application Foundation","EPIC-MOB-CORE","Reading Tracker App","WI-MOB-002","TSK-MOB-004","Flutter,Database","Medium","High","Detects version change; Migrations run successfully","Migration test suite pass","2024-06-03","2024-06-14","8%","None","None","Regression tests","Critical for updates","App longevity"
"TSK-SYNC-002","Implement Background Sync Worker","Service to listen for connectivity changes and process SyncMutation queue.","Task","Sprint Backlog","Critical","mobile.dev@company.com","tech.lead@company.com","2024-06-20","14","8","mobile,sync,background-task","Sprint 3","Deliver Premium Value via AI-Powered Recommendations and Full Sync","Offline Synchronization Engine","EPIC-SYNC","Reading Tracker App","WI-SYNC-001","TSK-SYNC-001","Flutter,Async","High","High","Triggers on reconnect; FIFO processing; Retry with backoff","Simulation test passed","2024-06-17","2024-06-28","18%","Backend Team","None","Chaos testing","None","Reliable data sync"
"TSK-SYNC-004","Implement Batch Push Sync Endpoint","Endpoint POST /sync accepting batch of mutations with conflict resolution.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-19","12.3","5","backend,sync,api","Sprint 3","Deliver Premium Value via AI-Powered Recommendations and Full Sync","Offline Synchronization Engine","EPIC-SYNC","Reading Tracker App","WI-SYNC-002","TSK-BE-008",".NET 8,CQRS","High","Medium","Batch processed transactionally; Conflicts logged; Timestamps enforced","Concurrency tests pass","2024-06-17","2024-06-28","15%","Mobile Team","None","Load tests","None","Two-way sync"
"TSK-INFRA-003","Configure OpenSearch Serverless Collection","Define OpenSearch Serverless collection for vector search.","Task","Sprint Backlog","Medium","devops@company.com","tech.lead@company.com","2024-06-18","6.3","3","infrastructure,opensearch,vector-db","Sprint 3","Deliver Premium Value via AI-Powered Recommendations and Full Sync","Infrastructure & DevOps","EPIC-INFRA","Reading Tracker App","WI-INFRA-001","TSK-INFRA-001","AWS CDK,OpenSearch","Medium","Medium","Vector collection created; Access policies configured","Policy validation success","2024-06-17","2024-06-28","8%","Backend Team","None","Access test","None","AI capability"
"TSK-AI-001","Implement OpenAI Embedding Client","Service to call text-embedding-ada-002 with retry policies.","Task","Sprint Backlog","Medium","backend.dev@company.com","tech.lead@company.com","2024-06-20","6","3","backend,ai,openai","Sprint 3","Deliver Premium Value via AI-Powered Recommendations and Full Sync","AI Recommendations (RAG)","EPIC-AI-RAG","Reading Tracker App","WI-AI-001","",".NET 8,HTTP Client","Medium","High","Text to vector conversion; Rate limits handled; Circuit breaker","Integration test with OpenAI API","2024-06-17","2024-06-28","8%","None","OpenAI API","Mocked API tests","API Key management","Vector generation"
"TSK-FEAT-001","Implement Library List View","Create ListView.builder displaying book covers and tabs for Shelves.","Task","Sprint Backlog","High","mobile.dev@company.com","tech.lead@company.com","2024-06-21","8.3","5","mobile,ui,library","Sprint 3","Deliver Premium Value via AI-Powered Recommendations and Full Sync","Core Application Features","EPIC-FEATURE-CORE","Reading Tracker App","WI-FEAT-001","TSK-MOB-005","Flutter","Medium","Low","Performant scrolling; Tabs filter data","Widget test pass","2024-06-17","2024-06-28","10%","Design Team","None","UI Tests","None","Core User Feature"
"TSK-AI-002","Implement OpenSearch Client","Service to index/upsert vectors into Amazon OpenSearch Serverless.","Task","Sprint Backlog","Medium","backend.dev@company.com","tech.lead@company.com","2024-06-24","8.3","3","backend,opensearch,aws","Sprint 3","Deliver Premium Value via AI-Powered Recommendations and Full Sync","AI Recommendations (RAG)","EPIC-AI-RAG","Reading Tracker App","WI-AI-001","TSK-INFRA-003",".NET 8,OpenSearch","Medium","Medium","Vectors indexed; SigV4 auth works","Integration test","2024-06-17","2024-06-28","10%","DevOps","None","Integration tests","None","Vector storage"
"TSK-AI-003","Implement RAG Orchestrator Logic","Service to vectorize query, search OpenSearch, build Prompt, and call GPT-4.","Task","Sprint Backlog","Medium","backend.dev@company.com","tech.lead@company.com","2024-06-26","12","5","backend,ai,orchestration","Sprint 3","Deliver Premium Value via AI-Powered Recommendations and Full Sync","AI Recommendations (RAG)","EPIC-AI-RAG","Reading Tracker App","WI-AI-002","TSK-AI-001,TSK-AI-002",".NET 8,AI","High","High","Context retrieved; Prompt constructed; Response parsed","End-to-end test","2024-06-17","2024-06-28","15%","None","OpenAI","Accuracy testing","None","Recommendation Feature"
"TSK-FEAT-002","Implement Google Books Client","HTTP Client for Google Books API with caching.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2024-06-27","6","3","backend,integration,google-books","Sprint 3","Deliver Premium Value via AI-Powered Recommendations and Full Sync","Core Application Features","EPIC-FEATURE-CORE","Reading Tracker App","WI-FEAT-002","TSK-BE-001",".NET 8","Medium","Low","Search returns mapped DTOs; Results cached","Integration test","2024-06-17","2024-06-28","8%","None","Google Books API","Mock API tests","API Key restrictions","Book data source"
